id,Churn,Mais65anos,Conjuge,Dependentes,MesesDeContrato,TelefoneFixo,MaisDeUmaLinhaTelefonica,Internet,SegurancaOnline,BackupOnline,SeguroDispositivo,SuporteTecnico,TVaCabo,StreamingFilmes,TipoContrato,ContaCorreio,MetodoPagamento,MesesCobrados
452,Nao,0,Sim,Nao,60,Nao,SemServicoTelefonico,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Mensalmente,Sim,DebitoEmConta,60.2
453,Sim,0,Sim,Sim,28,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Sim,BoletoEletronico,81.05
454,Nao,0,Sim,Nao,61,Sim,Sim,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,Boleto,24.4
455,Nao,0,Nao,Nao,24,Sim,Sim,FibraOptica,Nao,Sim,Sim,Nao,Sim,Sim,Mensalmente,Sim,BoletoEletronico,104.15
456,Nao,0,Sim,Sim,28,Sim,Nao,FibraOptica,Nao,Sim,Sim,Sim,Sim,Nao,UmAno,Nao,DebitoEmConta,92.9
457,Nao,0,Sim,Sim,30,Sim,Nao,DSL,Nao,Sim,Sim,Sim,Sim,Sim,DoisAnos,Nao,DebitoEmConta,80.8
458,Nao,0,Sim,Nao,2,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,Boleto,20.0
459,Nao,0,Nao,Nao,1,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,75.1
460,Nao,0,Nao,Sim,6,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,Boleto,19.65
461,Nao,0,Sim,Nao,24,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Sim,Sim,Mensalmente,Sim,DebitoEmConta,69.45
462,Sim,0,Sim,Sim,4,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,Mensalmente,Nao,BoletoEletronico,101.15
463,Sim,0,Nao,Nao,7,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Sim,Mensalmente,Sim,BoletoEletronico,99.8
464,Nao,1,Sim,Nao,72,Sim,Sim,FibraOptica,Sim,Sim,Sim,Sim,Sim,Sim,DoisAnos,Sim,DebitoEmConta,116.05
465,Nao,0,Nao,Nao,70,Nao,SemServicoTelefonico,DSL,Nao,Nao,Nao,Sim,Nao,Sim,DoisAnos,Sim,Boleto,40.05
466,Nao,1,Sim,Nao,64,Sim,Sim,FibraOptica,Nao,Nao,Sim,Sim,Sim,Sim,DoisAnos,Nao,BoletoEletronico,102.1
467,Nao,0,Sim,Sim,72,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Nao,UmAno,Sim,BoletoEletronico,89.7
468,Nao,0,Nao,Sim,44,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,Boleto,19.9
469,Sim,0,Sim,Sim,13,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Nao,BoletoEletronico,55.95
470,Nao,1,Nao,Nao,17,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,UmAno,Nao,Boleto,20.65
471,Sim,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Sim,BoletoEletronico,55.0
472,Nao,0,Sim,Nao,9,Sim,Nao,DSL,Nao,Nao,Sim,Nao,Sim,Sim,Mensalmente,Sim,Boleto,70.05
473,Nao,0,Sim,Nao,24,Sim,Nao,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Mensalmente,Nao,Boleto,53.6
474,Sim,0,Sim,Sim,1,Sim,Nao,FibraOptica,Nao,Sim,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,74.7
475,Sim,0,Nao,Nao,24,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,80.25
476,Nao,1,Sim,Sim,35,Sim,Nao,DSL,Nao,Sim,Nao,Sim,Sim,Sim,Mensalmente,Sim,BoletoEletronico,76.05
477,Nao,0,Sim,Sim,7,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Nao,Mensalmente,Sim,BoletoEletronico,75.7
478,Sim,0,Nao,Nao,5,Sim,Nao,FibraOptica,Nao,Nao,Nao,Sim,Sim,Sim,Mensalmente,Sim,BoletoEletronico,96.1
479,Sim,0,Nao,Sim,15,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,DebitoEmConta,69.0
480,Nao,0,Sim,Sim,11,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,Boleto,19.65
481,Sim,0,Sim,Nao,48,Nao,SemServicoTelefonico,DSL,Sim,Nao,Sim,Nao,Nao,Sim,Mensalmente,Sim,DebitoEmConta,45.3
482,Nao,1,Nao,Nao,20,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Sim,BoletoEletronico,81.45
483,Nao,0,Sim,Nao,72,Sim,Sim,FibraOptica,Nao,Sim,Sim,Sim,Sim,Sim,UmAno,Sim,DebitoEmConta,108.5
484,Sim,0,Sim,Sim,8,Sim,Nao,FibraOptica,Nao,Sim,Nao,Nao,Sim,Nao,Mensalmente,Sim,BoletoEletronico,83.55
485,Nao,0,Sim,Sim,72,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Sim,DoisAnos,Sim,CartaoCredito,84.5
486,Nao,0,Nao,Nao,15,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Sim,Mensalmente,Sim,BoletoEletronico,100.15
487,Nao,0,Nao,Nao,72,Sim,Sim,DSL,Nao,Sim,Sim,Sim,Sim,Sim,DoisAnos,Sim,DebitoEmConta,88.6
488,Nao,0,Sim,Sim,0,Nao,SemServicoTelefonico,DSL,Sim,Nao,Sim,Sim,Sim,Nao,DoisAnos,Sim,DebitoEmConta,52.55
489,Sim,0,Nao,Sim,1,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,74.35
490,Nao,0,Sim,Sim,63,Sim,Sim,FibraOptica,Nao,Sim,Sim,Nao,Sim,Sim,DoisAnos,Sim,DebitoEmConta,104.8
491,Nao,0,Nao,Nao,2,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Sim,Nao,Mensalmente,Sim,BoletoEletronico,59.0
492,Sim,0,Sim,Nao,2,Sim,Nao,FibraOptica,Sim,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,74.4
493,Nao,1,Sim,Nao,61,Sim,Sim,DSL,Nao,Sim,Nao,Nao,Nao,Sim,UmAno,Nao,DebitoEmConta,64.05
494,Nao,0,Nao,Nao,1,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,Boleto,20.4
495,Sim,0,Nao,Nao,22,Nao,SemServicoTelefonico,DSL,Nao,Sim,Sim,Nao,Nao,Sim,UmAno,Sim,DebitoEmConta,43.75
496,Nao,0,Sim,Nao,28,Sim,Nao,DSL,Sim,Sim,Nao,Sim,Nao,Nao,Mensalmente,Nao,Boleto,60.9
497,Nao,0,Sim,Nao,70,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,DebitoEmConta,19.8
498,Sim,1,Nao,Nao,5,Nao,SemServicoTelefonico,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Mensalmente,Nao,BoletoEletronico,28.45
499,Sim,0,Nao,Nao,12,Sim,Sim,FibraOptica,Sim,Sim,Sim,Nao,Nao,Sim,Mensalmente,Sim,DebitoEmConta,99.7
500,Nao,0,Nao,Nao,34,Sim,Sim,FibraOptica,Sim,Sim,Sim,Sim,Sim,Sim,UmAno,Nao,CartaoCredito,116.25
501,Nao,1,Sim,Nao,71,Sim,Sim,FibraOptica,Sim,Nao,Nao,Nao,Nao,Nao,DoisAnos,Sim,CartaoCredito,80.7
502,Nao,0,Sim,Sim,70,Sim,Sim,DSL,Sim,Nao,Nao,Nao,Nao,Sim,UmAno,Nao,DebitoEmConta,65.2
503,Nao,0,Sim,Sim,52,Sim,Nao,FibraOptica,Sim,Nao,Sim,Sim,Nao,Nao,Mensalmente,Sim,DebitoEmConta,84.05
504,Nao,0,Nao,Sim,69,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Nao,DoisAnos,Sim,CartaoCredito,79.45
505,Sim,1,Nao,Nao,20,Sim,Sim,FibraOptica,Nao,Sim,Sim,Nao,Nao,Sim,Mensalmente,Sim,BoletoEletronico,94.1
506,Nao,0,Nao,Sim,11,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Nao,Nao,Mensalmente,Sim,Boleto,78.0
507,Sim,0,Sim,Nao,2,Sim,Nao,FibraOptica,Nao,Nao,Nao,Sim,Sim,Sim,Mensalmente,Sim,BoletoEletronico,94.2
508,Sim,0,Sim,Sim,6,Sim,Sim,FibraOptica,Nao,Nao,Nao,Sim,Nao,Nao,Mensalmente,Sim,BoletoEletronico,80.5
509,Nao,0,Nao,Nao,1,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,Boleto,19.85
510,Nao,1,Sim,Sim,20,Sim,Nao,FibraOptica,Sim,Nao,Sim,Sim,Nao,Sim,UmAno,Nao,CartaoCredito,94.3
511,Nao,0,Nao,Nao,61,Sim,Sim,FibraOptica,Sim,Nao,Sim,Nao,Sim,Sim,Mensalmente,Sim,BoletoEletronico,106.45
512,Sim,1,Sim,Nao,5,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,74.35
513,Nao,0,Nao,Nao,56,Sim,Sim,FibraOptica,Nao,Sim,Nao,Sim,Sim,Sim,Mensalmente,Sim,DebitoEmConta,105.45
514,Nao,0,Nao,Nao,30,Sim,Sim,FibraOptica,Sim,Sim,Sim,Sim,Nao,Nao,Mensalmente,Sim,CartaoCredito,95.0
515,Sim,0,Nao,Nao,40,Sim,Sim,FibraOptica,Nao,Nao,Sim,Sim,Sim,Sim,Mensalmente,Nao,DebitoEmConta,104.8
516,Nao,0,Nao,Nao,28,Sim,Nao,DSL,Sim,Nao,Nao,Sim,Nao,Nao,UmAno,Nao,Boleto,54.3
517,Nao,1,Sim,Nao,5,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,BoletoEletronico,70.05
518,Sim,1,Sim,Nao,27,Sim,Nao,FibraOptica,Sim,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,DebitoEmConta,75.2
519,Nao,0,Nao,Nao,12,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,CartaoCredito,20.05
520,Nao,0,Sim,Sim,67,Sim,Sim,FibraOptica,Nao,Sim,Sim,Nao,Sim,Sim,UmAno,Sim,BoletoEletronico,105.4
521,Nao,1,Sim,Nao,29,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,51.6
522,Nao,0,Sim,Sim,55,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Nao,DebitoEmConta,85.5
523,Sim,0,Nao,Nao,23,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,DebitoEmConta,75.6
524,Sim,0,Sim,Nao,34,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,Mensalmente,Sim,BoletoEletronico,100.05
525,Nao,0,Nao,Nao,52,Sim,Nao,FibraOptica,Sim,Nao,Sim,Nao,Sim,Nao,UmAno,Nao,BoletoEletronico,91.25
526,Nao,1,Sim,Sim,72,Sim,Sim,FibraOptica,Sim,Sim,Sim,Sim,Sim,Sim,DoisAnos,Sim,CartaoCredito,115.75
527,Nao,0,Sim,Sim,58,Sim,Sim,FibraOptica,Nao,Sim,Nao,Sim,Sim,Nao,UmAno,Sim,CartaoCredito,94.7
528,Nao,0,Sim,Sim,35,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,Boleto,19.6
529,Nao,1,Nao,Nao,56,Sim,Sim,FibraOptica,Nao,Sim,Sim,Sim,Sim,Nao,DoisAnos,Sim,DebitoEmConta,99.9
530,Nao,0,Sim,Sim,24,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Sim,CartaoCredito,21.1
531,Nao,0,Sim,Sim,70,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,CartaoCredito,20.05
532,Nao,0,Nao,Nao,2,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Sim,Nao,Mensalmente,Sim,BoletoEletronico,79.95
533,Nao,1,Sim,Sim,68,Sim,Sim,FibraOptica,Nao,Nao,Sim,Sim,Sim,Sim,UmAno,Sim,CartaoCredito,107.15
534,Sim,0,Nao,Nao,1,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Sim,BoletoEletronico,85.0
535,Nao,0,Nao,Nao,12,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Nao,Mensalmente,Sim,BoletoEletronico,89.55
536,Nao,0,Sim,Nao,63,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Nao,Nao,Mensalmente,Sim,DebitoEmConta,81.55
537,Nao,0,Sim,Sim,33,Sim,Nao,DSL,Sim,Sim,Sim,Nao,Nao,Nao,UmAno,Sim,Boleto,58.45
538,Nao,0,Sim,Nao,69,Sim,Nao,FibraOptica,Nao,Sim,Nao,Nao,Sim,Sim,UmAno,Sim,CartaoCredito,95.65
539,Nao,0,Sim,Sim,60,Sim,Nao,DSL,Nao,Sim,Sim,Sim,Sim,Sim,DoisAnos,Sim,DebitoEmConta,80.6
540,Nao,0,Sim,Sim,72,Sim,Sim,FibraOptica,Sim,Sim,Sim,Sim,Sim,Sim,DoisAnos,Sim,DebitoEmConta,113.1
541,Nao,0,Nao,Nao,11,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensalmente,Sim,Boleto,58.95
542,Nao,0,Nao,Nao,1,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,Boleto,19.55
543,Sim,0,Nao,Nao,10,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Sim,Nao,Mensalmente,Sim,DebitoEmConta,86.05
544,Sim,0,Nao,Nao,13,Nao,SemServicoTelefonico,DSL,Sim,Nao,Nao,Sim,Sim,Nao,Mensalmente,Sim,CartaoCredito,45.55
545,Nao,0,Sim,Sim,34,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Sim,UmAno,Sim,DebitoEmConta,78.95
546,Sim,0,Sim,Sim,39,Sim,Nao,FibraOptica,Nao,Sim,Nao,Nao,Sim,Nao,Mensalmente,Sim,Boleto,86.3
547,Nao,0,Nao,Nao,65,Sim,Sim,FibraOptica,Nao,Sim,Nao,Sim,Sim,Sim,UmAno,Sim,DebitoEmConta,105.05
548,Nao,1,Sim,Nao,50,Sim,Sim,FibraOptica,Sim,Sim,Sim,Nao,Sim,Nao,UmAno,Sim,DebitoEmConta,101.9
549,Nao,0,Nao,Nao,15,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,Boleto,19.75
550,Nao,0,Sim,Sim,72,Sim,Sim,FibraOptica,Sim,Sim,Sim,Nao,Sim,Sim,DoisAnos,Sim,DebitoEmConta,110.3
551,Nao,0,Sim,Sim,72,Sim,Sim,FibraOptica,Sim,Sim,Sim,Sim,Sim,Sim,DoisAnos,Sim,DebitoEmConta,115.6
552,Nao,0,Sim,Sim,55,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,DebitoEmConta,19.35
553,Nao,0,Sim,Sim,23,Sim,Sim,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Sim,CartaoCredito,25.6
554,Sim,0,Nao,Nao,32,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Nao,Nao,Mensalmente,Sim,DebitoEmConta,80.35
555,Nao,0,Sim,Sim,56,Sim,Sim,DSL,Sim,Nao,Sim,Nao,Nao,Sim,UmAno,Sim,DebitoEmConta,68.75
556,Nao,0,Nao,Nao,1,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,DebitoEmConta,19.9
557,Nao,0,Nao,Nao,38,Sim,Nao,DSL,Sim,Sim,Nao,Sim,Sim,Nao,UmAno,Nao,Boleto,70.6
558,Nao,0,Nao,Nao,11,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,BoletoEletronico,70.2
559,Nao,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Nao,Nao,Mensalmente,Sim,BoletoEletronico,49.3
560,Nao,0,Sim,Nao,56,Sim,Sim,FibraOptica,Nao,Sim,Nao,Sim,Sim,Sim,UmAno,Sim,BoletoEletronico,107.25
561,Nao,0,Sim,Nao,3,Sim,Sim,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Sim,Boleto,23.6
562,Nao,0,Sim,Sim,7,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Sim,Sim,Mensalmente,Nao,CartaoCredito,69.7
563,Nao,0,Sim,Sim,59,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,DoisAnos,Sim,CartaoCredito,99.5
564,Nao,0,Nao,Nao,7,Sim,Nao,DSL,Nao,Nao,Sim,Sim,Sim,Nao,Mensalmente,Nao,DebitoEmConta,64.3
565,Nao,0,Sim,Sim,71,Sim,Nao,DSL,Sim,Nao,Sim,Sim,Nao,Sim,DoisAnos,Sim,CartaoCredito,70.85
566,Nao,0,Sim,Sim,15,Sim,Nao,FibraOptica,Sim,Nao,Nao,Sim,Sim,Sim,UmAno,Nao,BoletoEletronico,101.9
567,Nao,0,Sim,Nao,71,Sim,Sim,DSL,Sim,Sim,Nao,Sim,Sim,Nao,DoisAnos,Nao,CartaoCredito,73.5
568,Sim,0,Nao,Nao,35,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Sim,Mensalmente,Sim,BoletoEletronico,100.25
569,Nao,0,Nao,Nao,11,Nao,SemServicoTelefonico,DSL,Nao,Sim,Sim,Sim,Nao,Nao,UmAno,Sim,CartaoCredito,40.4
570,Nao,0,Sim,Sim,60,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Sim,CartaoCredito,19.25
571,Nao,1,Nao,Nao,47,Sim,Sim,DSL,Nao,Sim,Nao,Sim,Nao,Nao,DoisAnos,Nao,DebitoEmConta,59.6
572,Nao,0,Nao,Nao,11,Sim,Nao,DSL,Nao,Nao,Sim,Sim,Nao,Sim,UmAno,Nao,CartaoCredito,64.9
573,Sim,0,Sim,Nao,56,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Sim,Sim,UmAno,Nao,CartaoCredito,100.3
574,Nao,1,Sim,Nao,28,Sim,Sim,FibraOptica,Nao,Sim,Sim,Sim,Sim,Sim,Mensalmente,Sim,BoletoEletronico,110.85
575,Nao,0,Sim,Nao,61,Sim,Nao,DSL,Sim,Sim,Nao,Sim,Sim,Sim,DoisAnos,Sim,Boleto,81.05
576,Nao,0,Sim,Sim,31,Sim,Sim,FibraOptica,Sim,Nao,Sim,Nao,Sim,Nao,UmAno,Nao,DebitoEmConta,98.05
577,Nao,0,Nao,Nao,9,Sim,Nao,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,70.5
578,Nao,1,Sim,Nao,35,Sim,Sim,FibraOptica,Sim,Sim,Nao,Nao,Nao,Sim,Mensalmente,Sim,BoletoEletronico,94.55
579,Nao,0,Nao,Nao,2,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Sim,Boleto,19.65
580,Sim,0,Sim,Sim,12,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Nao,Boleto,19.0
581,Sim,0,Nao,Nao,1,Sim,Nao,FibraOptica,Sim,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,Boleto,75.3
582,Sim,1,Nao,Nao,4,Sim,Sim,FibraOptica,Nao,Nao,Sim,Nao,Sim,Nao,Mensalmente,Sim,BoletoEletronico,89.2
583,Nao,0,Sim,Sim,1,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Sim,Boleto,19.0
584,Nao,0,Nao,Nao,3,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensalmente,Sim,Boleto,20.0
585,Sim,1,Nao,Nao,1,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Sim,Nao,Mensalmente,Sim,BoletoEletronico,85.7
586,Nao,0,Nao,Nao,52,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Sim,Nao,DoisAnos,Sim,CartaoCredito,63.25
587,Nao,0,Sim,Sim,5,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,UmAno,Nao,Boleto,20.1
588,Nao,0,Sim,Nao,72,Sim,Sim,FibraOptica,Sim,Sim,Sim,Nao,Nao,Sim,DoisAnos,Sim,BoletoEletronico,99.15
589,Nao,0,Sim,Sim,71,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,DoisAnos,Nao,BoletoEletronico,90.4
590,Nao,0,Sim,Nao,72,Sim,Sim,FibraOptica,Sim,Nao,Sim,Sim,Sim,Sim,DoisAnos,Sim,CartaoCredito,111.9
591,Nao,0,Sim,Sim,46,Sim,Sim,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,UmAno,Nao,BoletoEletronico,24.9
592,Nao,0,Sim,Sim,63,Sim,Sim,DSL,Sim,Sim,Sim,Nao,Sim,Sim,DoisAnos,Nao,CartaoCredito,83.5
593,Nao,0,Nao,Nao,30,Sim,Nao,FibraOptica,Sim,Sim,Sim,Nao,Nao,Nao,Mensalmente,Sim,CartaoCredito,84.3
594,Nao,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,Boleto,45.6
595,Sim,0,Nao,Nao,12,Sim,Sim,DSL,Sim,Nao,Sim,Sim,Nao,Nao,Mensalmente,Sim,Boleto,61.65
596,Nao,0,Nao,Nao,16,Nao,SemServicoTelefonico,DSL,Sim,Sim,Sim,Sim,Sim,Nao,DoisAnos,Nao,Boleto,54.85
597,Nao,0,Nao,Nao,4,Sim,Sim,DSL,Nao,Nao,Nao,Sim,Nao,Sim,Mensalmente,Nao,Boleto,65.55
598,Nao,0,Sim,Nao,51,Sim,Sim,FibraOptica,Nao,Sim,Nao,Nao,Nao,Sim,UmAno,Sim,CartaoCredito,90.35
599,Nao,0,Sim,Nao,65,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Sim,CartaoCredito,20.4
600,Nao,0,Nao,Nao,16,Sim,Nao,FibraOptica,Nao,Nao,Nao,Sim,Nao,Nao,Mensalmente,Sim,CartaoCredito,74.55
601,Nao,0,Nao,Nao,2,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,UmAno,Nao,Boleto,19.95
602,Nao,0,Sim,Sim,66,Sim,Sim,FibraOptica,Nao,Nao,Nao,Nao,Nao,Nao,UmAno,Sim,DebitoEmConta,74.25
603,Nao,0,Nao,Nao,46,Sim,Sim,FibraOptica,Nao,Sim,Sim,Sim,Sim,Sim,DoisAnos,Nao,BoletoEletronico,108.65
604,Nao,0,Nao,Nao,32,Sim,Sim,FibraOptica,Sim,Nao,Sim,Sim,Sim,Sim,UmAno,Sim,DebitoEmConta,109.55
605,Nao,0,Sim,Nao,72,Sim,Sim,DSL,Sim,Nao,Sim,Sim,Sim,Sim,DoisAnos,Nao,CartaoCredito,86.65
606,Nao,0,Sim,Sim,38,Sim,Nao,DSL,Sim,Nao,Sim,Sim,Sim,Sim,DoisAnos,Nao,CartaoCredito,81.0
607,Nao,0,Nao,Sim,51,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Nao,Nao,UmAno,Nao,CartaoCredito,47.85
608,Nao,0,Sim,Sim,72,Sim,Sim,FibraOptica,Sim,Sim,Sim,Sim,Sim,Sim,DoisAnos,Nao,DebitoEmConta,114.55
609,Sim,1,Sim,Nao,65,Sim,Sim,FibraOptica,Sim,Nao,Sim,Nao,Sim,Sim,Mensalmente,Nao,DebitoEmConta,105.25
610,Sim,0,Sim,Sim,9,Nao,SemServicoTelefonico,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Mensalmente,Sim,BoletoEletronico,29.95
611,Sim,0,Sim,Sim,9,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Nao,Nao,Mensalmente,Nao,Boleto,65.0
612,Nao,0,Nao,Sim,66,Sim,Nao,Nao,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,DoisAnos,Nao,Boleto,20.55
613,Nao,1,Nao,Nao,44,Sim,Sim,FibraOptica,Sim,Sim,Sim,Nao,Sim,Sim,UmAno,Sim,CartaoCredito,109.8
614,Nao,0,Nao,Nao,50,Sim,Sim,DSL,Nao,Nao,Sim,Sim,Nao,Sim,DoisAnos,Nao,DebitoEmConta,69.5
615,Nao,0,Nao,Nao,15,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Nao,Boleto,48.85
616,Nao,0,Nao,Nao,8,Nao,SemServicoTelefonico,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensalmente,Sim,CartaoCredito,25.25
